sender,recipient,amount0,amount1,sqrtPriceX96,liquidity,tick,contract_address,evt_index,evt_tx_hash,evt_block_time,evt_block_number,pool,fee,tickSpacing,token0,token1,symbol0,decimals0,symbol1,decimals1,price,low_tick,top_tick,low_tick_price,top_tick_price,sqrt_price,sqrt_low_tick_price,sqrt_top_tick_price,token0_reserve,token1_reserve,fee_fraction,fee0,fee1,evt_block_time_day,token0_price,token1_price,token0_reserve_usd,token1_reserve_usd,fee0_usd,fee1_usd,yield_per_dollar
0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-20773926728,5.0E18,1228856154646988441444978621670538,16041589437265734893,192994,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,2,0x1b5a2b5b687b0a23a07016944a8b120b80437315da5d9d7ca068ef9c977c370f,2021-10-26T14:21:49.000+0000,13493495,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500,10,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,6,WETH,18,240549174.48544976,192990,193000,240452978.86576292,240693540.07732853,15509.647787279044,15506.546322948992,15514.30114692017,310227.1929186605,49.75241743700876,0.0005,0,0.0025,2021-10-26T00:00:00.000+0000,1,4192.079397409927,310227.1929186605,208566.08410902284,0,10.480198493524817,0.000020201106987293484
0xE592427A0AEce92De3Edee1F18E0157C05861564,0x1C879A3dD70ebAd4F55267B5cB457e8Be92adbfa,-23221070210,7.0158841250250844E18,1376896778926990130904318628446981,2890674221079209455,195269,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,282,0xce3528326ad8cfaf51a99b6eec291cca117dc15e53434e514bb6fdd2568822e9,2021-08-13T23:19:24.000+0000,13019770,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500,10,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,6,WETH,18,301995815.7415214,195260,195270,301724155.3556568,302026015.32309556,17378.026808056242,17370.208846057572,17378.895687675198,8316.414373468479,22.599181210930787,0.0005,0,0.0035079420625125425,2021-08-13T00:00:00.000+0000,1,3197.9330746028095,8316.414373468479,72270.66905337793,0,11.218163945499256,0.00013920548391210407
0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,-458109486,2.4E17,1812976060416919851606112517073401,20996145533840525883,200773,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,16,0xc6cc18934ed7db4f9bf5f7d88366e1848a308bc82d9d55977e87e77a347d34cc,2022-05-30T15:52:44.000+0000,14873444,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500,10,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,6,WETH,18,523630165.4214908,200770,200780,523473107.7844388,523996816.5179494,22882.966709355907,22879.534693355083,22890.976748884033,321068.41244771343,72.05910742778391,0.0005,0,0.00012,2022-05-30T00:00:00.000+0000,1,1914.8368775534088,321068.41244771343,137981.4362663034,0,0.22978042530640908,5.005565865016978e-7
0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,7500000000,-1.80331956149113344E18,1228831472383194478901091366000142,16041589437265734893,192994,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,207,0xc791ace94c1d35876e2d162dad7ec4d8529bcf50f57d059150403166a4d63a11,2021-10-26T14:21:00.000+0000,13493490,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500,10,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,6,WETH,18,240549174.48544976,192990,193000,240452978.86576292,240693540.07732853,15509.647787279044,15506.546322948992,15514.30114692017,310227.1929186605,49.75241743700876,0.0005,3.75,0,2021-10-26T00:00:00.000+0000,1,4192.079397409927,310227.1929186605,208566.08410902284,3.75,0,0.000007228312636364207
0xDef1C0ded9bec7F1a1670819833240f027b25EfF,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,-9931334987,3.0E18,1376704582353684303674892580274983,2890674221079209455,195267,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,221,0x81c6b343b07a81dd866c11e28eb3c6c1c4394aaf1ab4f16f40c6344043243652,2021-08-13T23:19:24.000+0000,13019770,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500,10,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,6,WETH,18,301935425.6370397,195260,195270,301724155.3556568,302026015.32309556,17376.289179138326,17370.208846057572,17378.895687675198,24950.49057216568,17.57626209211048,0.0005,0,0.0015,2021-08-13T00:00:00.000+0000,1,3197.9330746028095,24950.49057216568,56207.70987224767,0,4.796899611904214,0.000059105544302817476
0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x8672c71A31E429a017161f1BB4cc2B6E768A8C0D,-4085478352,2.14033976012731674E18,1812975155238795929287819827554311,20996145533840525883,200772,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,219,0x619f4a7b38ed58bffd57358e29b13f05375a440a361cbe0a62c67d1f6649d28b,2022-05-30T15:52:37.000+0000,14873443,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500,10,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,6,WETH,18,523577807.64072675,200770,200780,523473107.7844388,523996816.5179494,22881.822646824417,22879.534693355083,22890.976748884033,366944.5021240705,48.038204016807796,0.0005,0,0.0010701698800636584,2022-05-30T00:00:00.000+0000,1,1914.8368775534088,366944.5021240705,91985.32458281786,0,2.0492007515928017,0.000004465172303785772
0xDef1C0ded9bec7F1a1670819833240f027b25EfF,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,-16474078384,3.965E18,1228840378838246312220202154957102,16041589437265734893,192994,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,432,0xde9a7c6bf6aaec17c4da93e18597d331ab01d4289c817287d4084f5fc54da966,2021-10-26T14:20:34.000+0000,13493489,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500,10,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,6,WETH,18,240549174.48544976,192990,193000,240452978.86576292,240693540.07732853,15509.647787279044,15506.546322948992,15514.30114692017,310227.1929186605,49.75241743700876,0.0005,0,0.0019825,2021-10-26T00:00:00.000+0000,1,4192.079397409927,310227.1929186605,208566.08410902284,0,8.31079740536518,0.000016019477840923734
0x0000000000f4DEf5F3572C846B1483daf4588d8f,0x8c54aA2A32a779e6f6fBea568aD85a19E0109C26,-117455502532,3.5453125E19,1376622398881203503525878130037730,2890674221079209455,195265,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,3,0x5f40ec0c591d89d12bb9bf492d840cc1389e431242fd3107ea6a5ef4f88e4408,2021-08-13T23:19:24.000+0000,13019770,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500,10,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,6,WETH,18,301875047.6087675,195260,195270,301724155.3556568,302026015.32309556,17374.55172396593,17370.208846057572,17378.895687675198,41586.2301784521,12.553845214987144,0.0005,0,0.0177265625,2021-08-13T00:00:00.000+0000,1,3197.9330746028095,41586.2301784521,40146.35682645161,0,56.68836051776387,0.0006935833379942169
0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-15461601126,8.1E18,1812967082785759977665892557250106,20996145533840525883,200772,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,37,0x553decb99edbea3d6a894c06930b4be8d6fe7a24d3b12b9669e72f6765ae6866,2022-05-30T15:52:35.000+0000,14873442,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500,10,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,6,WETH,18,523577807.64072675,200770,200780,523473107.7844388,523996816.5179494,22881.822646824417,22879.534693355083,22890.976748884033,366944.5021240705,48.038204016807796,0.0005,0,0.00405,2022-05-30T00:00:00.000+0000,1,1914.8368775534088,366944.5021240705,91985.32458281786,0,7.7550893540913055,0.000016898202955643512
0x27239549DD40E1D60F5B80B0C4196923745B1FD2,0x27239549DD40E1D60F5B80B0C4196923745B1FD2,-205212888421,4.938028804864943E19,1228820805803057699922899561210478,16041589437265734893,192994,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,55,0xc2219de96df304bd092d8e2f63773c4e27ff70c390d3119693990cf2ad5f0ce5,2021-10-26T14:20:34.000+0000,13493489,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500,10,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,6,WETH,18,240549174.48544976,192990,193000,240452978.86576292,240693540.07732853,15509.647787279044,15506.546322948992,15514.30114692017,310227.1929186605,49.75241743700876,0.0005,0,0.024690144024324717,2021-10-26T00:00:00.000+0000,1,4192.079397409927,310227.1929186605,208566.08410902284,0,103.50304408345546,0.00019950729638682738
